'CUSTOMERID',TRANSACTIONDATE,'EMPLOYEEID','AMOUNT','DESCRIPTION','REFERENCE'
194,'1994-07-08',46583,-1427.88,'Single/final payment for purchase',332
195,'1994-03-25',46583,-1836.3,'Single/final payment for purchase',216
195,'1994-02-18',89097,1836.27,'Order was shipped',216
196,'1994-07-21',89097,-235,'Monthly payment #4',345
196,'1994-10-20',29387,-235,'Monthly payment #7',345
196,'1994-09-19',29387,-235,'Monthly payment #6',345
196,'1994-08-21',46583,-235,'Monthly payment #5',345
196,'1994-05-21',29387,-235,'Monthly payment #2',345
196,'1994-06-23',15293,-235,'Monthly payment #3',345
196,'1994-02-20',15293,1747.38,'Order was shipped',345
196,'1994-04-21',51512,-337.38,'Monthly payment #1',345
197,'1994-09-26',89097,1318,'Order was shipped',276
197,'1994-10-28',15293,-1318,'Single/final payment for purchase',276
199,'1994-03-23',87295,1855,'Order was shipped',171
199,'1994-04-25',29387,-1855,'Single/final payment for purchase',171
200,'1994-12-24',87295,1448,'Order was shipped',348
200,'2003-02-12',98766,-2253.59,'Single/final payment for purchase',21906
200,'1995-01-23',29387,-1448,'Single/final payment for purchase',348
200,'2003-01-14',51512,2253.6,'Order was shipped',21906
204,'1997-11-25',51512,-2883,'Single/final payment for purchase',4350
204,'1994-05-01',87295,2721.25,'Order was shipped',890
204,'1994-07-08',51512,-1360.63,'Monthly payment #1',890
204,'1994-08-03',51512,-1360.62,'Monthly payment #2',890
204,'1994-08-15',29387,3470,'Order was shipped',212
204,'1994-09-19',51512,-3462,'Single/final payment for purchase',212
204,'1997-10-26',15293,2875,'Order was shipped',4350
205,'1994-11-05',29387,-2695,'Single/final payment for purchase',124
205,'1994-10-01',51512,2695,'Order was shipped',124
207,'1994-07-02',87295,1270,'Order was shipped',51
207,'1994-08-04',29387,-1270,'Single/final payment for purchase',51
209,'1994-10-26',89097,1570,'Order was shipped',116
209,'1994-11-28',29387,-1570,'Single/final payment for purchase',116
210,'1995-01-14',46583,-623.33,'Monthly payment #2',118
210,'1995-02-18',51512,-623.34,'Monthly payment #3',118
210,'1994-12-19',15293,-623.33,'Monthly payment #1',118
210,'1994-10-14',29387,1870,'Order was shipped',118
