'MANUFACTURERID',TRANSACTIONDATE,'EMPLOYEEID','AMOUNT','DESCRIPTION','REFERENCE'
3,'2002-10-17',15293,6048.03,'Automatic EOQ Inventory purchase',8604
3,'2002-10-15',22343,-8135.54,'Automatic payment of bills',8018
3,'2002-10-06',89097,-11940.87,'Automatic payment of bills',8581
3,'2002-09-26',15293,-8603.75,'Automatic payment of bills',7993
3,'2002-09-25',22343,8135.54,'Automatic EOQ Inventory purchase',8018
3,'2002-09-08',87295,-11184.16,'Automatic payment of bills',8558
3,'2002-09-05',51512,11940.87,'Automatic EOQ Inventory purchase',8581
3,'2002-11-05',88873,7394.36,'Automatic EOQ Inventory purchase',8626
3,'2002-08-13',73735,-10781.83,'Automatic payment of bills',7968
3,'2002-11-20',15293,-6048.03,'Automatic payment of bills',8604
3,'2002-08-09',87295,-7649.94,'Automatic payment of bills',8536
3,'2002-07-16',87295,7649.94,'Automatic EOQ Inventory purchase',8536
3,'2002-07-14',29387,10781.83,'Automatic EOQ Inventory purchase',7968
3,'2002-07-11',29387,-5159.98,'Automatic payment of bills',8513
3,'2002-07-03',51512,-11564.62,'Automatic payment of bills',7943
3,'2002-06-30',29387,-8594.7,'Automatic payment of bills',7918
3,'2002-06-18',51512,5159.98,'Automatic EOQ Inventory purchase',8513
3,'2002-06-12',87295,11564.62,'Automatic EOQ Inventory purchase',7943
3,'2002-09-02',51512,8603.75,'Automatic EOQ Inventory purchase',7993
3,'2003-01-30',89097,-12551.43,'Automatic payment of bills',8093
3,'2002-06-07',22343,-7974.43,'Automatic payment of bills',8491
3,'2003-06-01',29387,-16072.68,'Automatic payment of bills',8770
3,'2003-05-10',88873,-13406.47,'Automatic payment of bills',8744
3,'2003-05-07',51512,16072.68,'Automatic EOQ Inventory purchase',8770
3,'2003-04-19',88873,-13848.08,'Automatic payment of bills',8719
3,'2003-04-13',87295,13406.47,'Automatic EOQ Inventory purchase',8744
3,'2003-03-18',29387,13848.08,'Automatic EOQ Inventory purchase',8719
3,'2003-03-08',15293,-15898.3,'Automatic payment of bills',8694
3,'2002-11-03',73735,10400.59,'Automatic EOQ Inventory purchase',8043
3,'2003-02-02',73735,15898.3,'Automatic EOQ Inventory purchase',8694
3,'2003-07-08',22343,-15464.71,'Automatic payment of bills',8795
3,'2003-01-13',51512,-13041.06,'Automatic payment of bills',8648
3,'2003-01-02',22343,16413.31,'Automatic EOQ Inventory purchase',8670
3,'2003-01-02',88873,12551.43,'Automatic EOQ Inventory purchase',8093
3,'2003-01-02',51512,-11701.97,'Automatic payment of bills',8068
3,'2002-12-11',22343,13041.06,'Automatic EOQ Inventory purchase',8648
3,'2002-12-08',51512,-7394.36,'Automatic payment of bills',8626
3,'2002-12-03',87295,11701.97,'Automatic EOQ Inventory purchase',8068
3,'2002-11-29',87295,-10400.59,'Automatic payment of bills',8043
3,'2003-02-04',51512,-16413.31,'Automatic payment of bills',8670
3,'1996-01-08',29387,-14809.38,'Automatic payment of bills',418
3,'1996-04-14',88873,14627.02,'Automatic EOQ Inventory purchase',486
3,'1996-04-12',87295,-16930.03,'Automatic payment of bills',469
3,'1996-03-22',73735,-10816,'Automatic payment of bills',452
3,'1996-03-13',22343,16930.03,'Automatic EOQ Inventory purchase',469
3,'1996-03-05',29387,-14809.38,'Automatic payment of bills',418
